,names,years,locs,countries
662,Dottingen (Amsteg),1799,Déttingen,Switzerland
663,First Zurich,1799,Zurich,Switzerland
664,Xlontal,1799,Kléntalersee,Switzerland
665,Maienfeld,1799,Maienéeld,Switzerland
666,Muettental (Muttenthal),1799,Muotathal (Muttenthal),Switzerland
668,Second Zurich,1799,Zurich,Switzerland
669,St Gotthard Pass,1799,Airolo,Switzerland
670,Tinchebrai,1106,Tinchebrai,France
671,Sepulveda,111,Sepulveda,Spain
672,Alencan,1118,Alencon,France
673,Zaragoza,1118,Zaragoza,Spain
674,Bremule,1119,Gaillardbois-Cressenville,France
676,Bourgtherould,1124,Bourgtheroulde-Infreville,France
678,Brionne,1124,Brionne,France
679,Standard,1138,Northallerton,England
680,Wallingford,1139,Wallingford,England
681,Ourique,1139,Ourique,Portugal
682,Weinsberg,1140,Weinsberg,Germany
683,Lincoln,1141,Lincoln,England
684,Winchester,1141,Winchester,England
685,Weinsberg,1141,Weinsberg,Germany
686,Oxford,1142,Oxford,England
687,Wilton,1142,Wilton,England
688,Burwell,1144,Burwell,England
689,Faringdon,1145,Faringdon,England
690,Lisbon,1147,Lisbon,Portugal
691,Montreuil-Bellay,1149-51,Montreuil-Bellay,France
692,Wallingford,"1152-3,",Wallingford,England
693,Muradel,1157,Ciudad Real,Spain
694,Milan,1158-62,Milan,Italy
695,Fornham,1173,Bury St Edmunds,England
696,Rebellion of Alnwick,1173-4,Alnwick,England
698,Alessandria,1174-5,Alessandria,Italy
699,Legnano,1176,Legnano,Italy
700,Strymon,1185,Komotini,Greece
701,Thessalonika,1185,Thessalonika,Greece
702,Gisors,1193,Gisors,France
703,Freteval,1194,Freteval,France
704,Alarcos,1195,Ciudad Real,Spain
705,Gisors,1198,Gisors,France
706,Chateau-Galliard,1203-4,Les Andelys,France
707,Toulouse,1211,Toulouse,France
708,Las Navas de Tolosa,1212,Despenaperros Natural Park,Spain
710,Muret,1213,Muret,France
711,Bouvines,1214,Bouvines,France
712,Rachester,1215,Rochester,England
713,Lincoln,1217,Lincoln,England
714,Lincoln,1217,Lincoln,England
715,Toulouse,1217-8,Toulouse,France
716,Bedford,1224,Bedford,England
717,Thessalonika,1224,Thessalonika,Greece
718,Klokotnitsa,1230,Klokotnitsa,Bulgaria
719,Cortenuova,1237,Cortenuova,Italy
720,Brescia,1238,Brescia,Italy
721,Liegnitz,1241,Legnickie Pole,Poland
722,Saintes,1242,Saintes,France
723,Montsegur,1243-4,Montsegur,France
724,Parma,1247-8,Parma,Italy
725,Pelagonia,1259,Kastoria,Greece
726,Largs,1263,Largs,Scotland
727,Lewes,1264,Lewes,England
728,Evesham,1265,Evesham,England
729,Benevento,1266,Benevento,Italy
730,Tagliacozzo,1268,Tagliacozzo,Italy
731,Marchfeld,1278,Dirnkrut,Austria
732,Sicilian Vespers,1282,Palermo,Italy
733,Dunbar,1296,Dunbar,Scotland
734,Stirling,1297,Stirling,Scotland
735,Falkirk,1298,Falkirk,Scotland
736,Courtrai,1302,Courtrai,Belgium
737,Mons-en-Pevele,1304,Mons-en-Pevele,France
738,Methven,1306,Methven,Scotland
739,Loudoun Hill,1307,Darvel,Scotland
740,Bannockburn,1314,Bannockburn,Scotland
741,Morgarten,1315,Lake Aegeri,Switzerland
742,Faughart,1318,Faughart,England
743,Myton,1319,Myton-On-Swale,England
744,Boroughbridge,1322,Boroughbridge,England
745,Muehldorf,1322,Mihldorf am Inn,Germany
746,Cassel,1328,Cassel,France
747,Pelekanas,1329,Pelekanos,Greece
748,Kustendil,1330,Kustendil,Bulgaria
749,Dupplin Moor,1332,Scone,Scotland
750,Halidon Hill,1333,Berwick-Upon-Tweed,England
751,Rio Salado,1340,Tarifa,Spain
752,Morlaix,1342,Morlaix,France
753,Algeciras,1342-4,Algeciras,Spain
754,Neville’s Cross,1346,Durham,England
755,Caen,1346,Caen,France
756,Calais,1346-7,Calais,France
757,Crecy,1346,Crecy-en-Ponthieu,France
758,Saint-Pol de Leon,1346,Saint-Pal de Leon,France
759,Rache-Derrien,1347,Roche-Derrien,France
760,Roche-Derrien,1347,Roche-Derrien,France
761,Eppila,1348,Epila,Spain
762,Mauron,1352,Mauron,France
763,Breteuil,1356,Breteuil,France
764,Poitiers,1356,Maupertuis,France
765,Rennes,1356-7,Rennes,France
766,Jacquerie,1358,Saint-Leu-d’Esserent,France
767,Cascina,1364,Cascina,Italy
768,Najera,1367,Najera,Spain
769,Cascina,1369,Cascina,Italy
770,Montiel,1369,Ciudad Real,Spain
771,Thurie,1370,Albi,France
772,Chernomen,1371,Ormenio,Greece
773,La Rochelle,1372,La Rochelle,France
774,Revolt in Bologna,1375,Bologna,Italy
775,Revolt in Orvieto,1375,Orvieto,Italy
776,Revolt in Perugia,1375,Perugia,Italy
777,Revolt in Viterbo,1375,Viterbo ,Italy
778,Excomm of Florence,1376,Florence,Italy
780,Sack of Cesena,1377,Cesena ,Italy
781,Uprising in Florence,1378,Florence,Italy
783,Peasant’s Revolt,1381,Blackheath,England
784,Roosebeke,1382,Courtrai,Belgium
785,Aljubarrota,1385,Aljubarrota,Portugal
786,Sempach,1386,Sempach,Switzerland
787,Radcot Bridge,1387,Radcot,England
788,Castagnaro,1387,Castagnaro,Italy
789,Otterburn,1388,Otterburn,England
790,Kosovo,1389,Pristina,Kosovo
791,Alessandria,1391,Alessandria,Italy
792,Rovine,1395,Rovine,Romania
793,Nicopolis,1396,Nikopol,Bulgaria
794,Nicopolis,1396,Nikopol,Bulgaria
795,Homildon Hill,1402,Wooler,England
796,Pilleth,1402,Knighton,Wales
797,Shrewsbury,1403,Shrewsbury,England
798,Bramham Moor,1408,Bramham,England
799,Tannenberg,1410,Grunwald,Poland
800,Agincourt,1415,Agincourt,France
801,Harileur,1415,Harfleur,France
802,Kalamata,1415,Kalamata,Greece
803,Valmont,1416,Valmont,France
804,Caen,1417,Caen,France
805,Falaise,1418-9,Falaise,France
806,Rouen,1418-9,Rouen,France
807,Vysehrad.,1420,Prague ,Czechia
808,Saaz,1421,Zatec,Czechia
809,Saaz,1421,Zatec ,Czechia
810,Bauge,1421,Bauge,France
811,Meaux,1421-2,Meaux,France
812,Deutschbrod,1422,Havligktiy Brod ,Czechia
813,Arbedo,1422,Arbedo-Castione,Switzerland
814,Cravant,1423,Cravant,France
815,Verneuil,1424,Verneuil,France
816,"Aussitz,",1426,Usti nad Labem ,Czechia
817,Orleans,1428-9,Orleans,France
818,Herrings,1429,Rouvray-Saint-Denis,France
819,Patay,1429,Patay,France
820,Beauvais,1430,Savignies,France
821,Thessalonika,1430,Thessalonika,Greece
822,Anghiari,1440,Anghiari,Italy
823,Varna,1444,Varna,Bulgaria
824,Varna,1444,Varna,Bulgaria
825,St Jakob,1444,Munchenstein,Switzerland
826,Caravaggio,1448,Caravaggio,Italy
827,Kosovo,1448,Pristina,Kosovo
828,Rouen,1449,Rouen,France
829,Cade’s Rebellion,1450,Blackheath,England
830,Caen,1450,Caen,France
831,Falaise,1450,Falaise,France
832,Formigny,1450,Formigny,France
833,Castillon,1453,Castillon-la-Bataille,France
834,St.Albans,1455,St.Albans,England
835,Blore Heath,1459,Market Drayton,England
836,Northampton,1460,Northampton,England
837,Wakefield,1460,Sandal Magna,England
838,Mortimers Cross,1461,Wigmore,England
839,St.Albans,1461,St.Albans,England
840,Towton,1461,Towton,England
841,Hedgeley Moor,1464,Glanton,England
842,Hexham,1464,Hexham,England
843,Montihery,1465,Montlhery,France
844,Liege,1468,Liege,Belgium
845,Edgecote Moor,1469,Banbury,England
846,Barnet,1471,High Barnet,England
847,London,1471,London,England
848,Twekesbury,1471,Tewkesbury,England
849,Beauvais,1472,Beauvais,France
850,Neuss,1474-5,Neuss,France
851,Toro,1476,Toro,Spain
852,Grandson,1476,Grandson,Switzerland
853,Morat,1476,Morat,Switzerland
854,Nancy,1477,Nancy,France
855,Battle of Camparmoto,1482,Frosinone,Italy
857,Sack of Adria,1482,Adria,Italy
858,Sack of Argenta,1482,Argenta ,Italy
859,Sack of Comacchio,1482,Comacchio,Italy
860,Siege of Ferrara,1482-4,Ferrara ,Italy
861,Siege of Ficarolo,1482,Ficarolo ,Italy
862,Siege of Rovigo,1482,Rovigo ,Italy
863,Loja,1482,Loja,Spain
864,Boswarth,1485,Market Bosworth,England
865,Stoke,1487,East Stoke,England
866,Granada,1491-2,Granada,Spain
867,Fornovo,1495,Fornovo di Taro,Italy
868,Seminara,1495,Seminara,Italy
869,Atella,1496,Orta di Atella,Italy
870,Dornach,1499,Dornach,Switzerland
871,First Milan,1500,Milan,Italy
872,Barletta,1502-3,Barletta,Italy
873,Cerignola,1503,Cerignola,Italy
874,First Naples,1503,Naples,Italy
875,Formia,1503,Formia,Italy
876,Gaeta,1503,Gaeta,Italy
877,Garigliano River,1503,Gaeta,Italy
878,Agnadello,1509,Agnadello,Italy
879,Padua,1509,Padua,Italy
880,Vicenza,1510,Vicenza,Italy
881,Battle of Brescia,1511,Brescia ,Italy
882,Bologna,1511,Bologna,Italy
883,Sack of Brescia,1511,Brescia ,Italy
884,Ravenna,1512,Ravenna,Italy
